TS_Pcode,RHC_Code,SRHC_Code,SRHC_Name
"MMR014004","1","1","Hsaik Hkawng Main"
"MMR014004","1","2","Loi Hsan Sit"
"MMR014004","1","3","Maik Tee"
"MMR014004","1","4","Nang Aw Tan"
"MMR014004","1","5","Myay Ni"
"MMR014004","1","6","War Kha Yar"
"MMR014004","2","1","Ban Yin Main"
"MMR014004","2","2","Loi Mant"
"MMR014004","2","3","Htam Yang"
"MMR014004","2","4","Pin Aun"
"MMR014004","2","5","Nar Hkaik"
"MMR014004","2","6","Nawng Bo"
"MMR014004","3","1","Nawng Mun Main"
"MMR014004","3","2","Nar Mun"
"MMR014004","3","3","Nawng Loi"
"MMR014004","3","4","Kone Kyawng"
"MMR014004","3","5","Hseng Le"
"MMR014004","4","1","Loi Put Main"
"MMR014004","4","2","Taw Ya"
"MMR014004","4","3","Nawng Pang Taing"
"MMR014004","4","4","Nawng Lat"
"MMR014004","4","5","Htant Hsei"
"MMR014004","5","1","Nawng Htaw Main"
"MMR014004","5","2","Ka Lar Lan"
"MMR014004","5","3","Loi Twei"
"MMR014004","5","4","Taung Tat"
"MMR014004","5","5","Loi Hka Lel"
"MMR014004","6","1","Pang Kan Main"
"MMR014004","6","2","Phayar Phyu"
"MMR014004","6","3","Nawng Ae"
"MMR014004","6","4","Nawng Sa Kar"
"MMR014004","7","1","Nawng Yin Don"
"MMR014004","7","2","Yae Phyu"
"MMR014004","8","1","MCH"
"MMR014004","9","1","Pacharkalo"
